0,1,2,3
105_train,Oil jumps as Bush nears victory,"Oil has leapt back above \$50 as President George W. Bush edges towards US election victory, a result which traders. say will bolster fuel demand and underpin anxiety over security of Middle East supply.",Business
1060_train,US Seeks Jail for Man in Advance-Fee Stocks Scam (Reuters),"Reuters - U.S. prosecutors said on Wednesday\they are asking a judge to jail a former Miami, Florida, man\accused of setting up a half-dozen boiler-room financial scams\that faked Web sites and government documents.",Sci/Tech
1061_train,Tree Farmers Are Objecting To New Rules On Forestland Changes &lt;b&gt;...&lt;/b&gt;,"Tree farmer Kent Hinson says he is out on a limb when it comes to his pro-environment view.  quot;Most foresters in general look at the environmentalists as an adversary, as a group ",Sci/Tech
1062_train,"Cubesats: Tiny Spacecraft, Huge Payoffs (SPACE.com)","SPACE.com - LOGAN, UTAH -- Experts say \  the big news in spacecraft building involves ultra-small CubeSats.",Sci/Tech
1063_train,Supercomputing Windows skips Itanium 2,"Microsoft will support only x86 processors with 64-bit extensions when it releases a special version of Windows Server for high-performance computing next year, leaving support for Intel #39;s Itanium 2 chip to a later, unspecified date.",Sci/Tech
1064_train,Things that scare Sun''s Schwartz,Sun President Jonathan Schwartz has a pre-Halloween case of the creeps--and for good reason.,Sci/Tech
1065_train,Sun Acquiring Outsourcing Vendor SevenSpace,"Sun Microsystems on Monday disclosed plans to acquire SevenSpace Inc., an Ashburn, Va.-based provider of IT outsourcing and managed services.",Sci/Tech
1066_train,How Geographic''s New Atlas Reflects a Changed World,"Some 17,000 changes have been made since the previous edition of the &lt;I&gt;National Geographic Atlas of the World.&lt;/I&gt; Chief Cartographer Allen Carroll tells what''s involved in tracking the changing world.",Sci/Tech
1067_train,McAfee Launches Managed Mail Security Service,"Sep. 13, 2004. McAfee on Monday pushed further into the managed security market as it introduced a multi-function managed e-mail service for small- and mid-sized businesses.",Sci/Tech
1068_train,Verizon  To Buy NextWave Licenses (washingtonpost.com),"washingtonpost.com - Verizon Wireless announced yesterday that it plans to buy airwave licenses in 23 markets from NextWave Telecom Inc. for  #36;3 billion in cash, giving the cellular phone giant the ability to carry more calls in some of the nation''s largest cities.",Sci/Tech
1069_train,Adobe and Yahoo! Team to Deliver New Consumer Services,"Companies to Provide Consumers with Access to Yahoo! Search Through Adobe Reader and Co-branded Toolbar Featuring Adobe Services. SAN JOSE, Calif.",Sci/Tech
106_train,Maxim Dives 61 Pct on Drug Trial Result," PHILADELPHIA (Reuters) - Maxim Pharmaceuticals Inc.  &lt;A HREF=''http://www.investor.reuters.com/FullQuote.aspx?ticker=MAXM.O target=/stocks/quickinfo/fullquote''&gt;MAXM.O&lt;/A&gt; said a trial to confirm the benefit of its Ceplene  drug failed to show an improvement in survival rates for  patients with liver cancer, sending its shares plunging on  Monday.",Business
1070_train,"Dell, EMC, Intel and Oracle Line Up on the Grid",Dell will provide an enterprise networked server infrastructure consisting of dual Intel Xeon and four-way Intel Itanium processor-based PowerEdge servers.,Sci/Tech
1071_train,It''s do or die time for Sun and Solaris x86,&lt;strong&gt;Analysis&lt;/strong&gt; The two year question,Sci/Tech
1072_train,Denmark Hopes to Claim the North Pole,"By JAN M. OLSEN     COPENHAGEN, Denmark (AP) -- Denmark is joining Russia and Canada to see if it can lay a claim to the North Pole - and whatever natural riches may lie beneath it...",Sci/Tech
1073_train,"Nokia Posts Drop in 3Q Earnings, Sales (AP)","AP - Nokia OYJ reported a 20 percent drop in third-quarter profits on Thursday, citing disappointing mobile phone sales that will likely put a damper on fourth-quarter results as well.",Sci/Tech
1074_train,PeopleSoft exec: We pumped up earnings,"The company asked customers to accelerate deals in order to bolster earnings--a ploy to exaggerate profits, Oracle lawyers say.",Sci/Tech
1075_train,So what is it about Win2k security MS won #39;t enhance?,"If you want the  #39;security enhancements #39; of Windows XP SP2 but you #39;re running an earlier version of Windows, then you #39;re going to have to upgrade, Microsoft has been confirming to the public prints this week.",Sci/Tech
1076_train,Siemens to sell mobile phone biz to China - report,Chinese distributor lined up as ''potential buyer'',Sci/Tech
1077_train,Infineon to admit DRAM price fixing,"update Infineon Technologies will plead guilty to taking part in an international DRAM price-fixing conspiracy, which affected such companies as Dell, Hewlett-Packard and Apple, the US Department of Justice announced Wednesday.",Sci/Tech
1078_train,Pressure mounts on EDS over U.K. government IT system grows,"LONDON -- After continuous computer failures forced the top civil servant of the U.K.''s Department of Work and Pensions'' Child Support Agency (CSA) to step down from his job this week, the government is considering scrapping a welfare case management and telephony system developed in large part by Electronic Data Systems (EDS).",Sci/Tech
1079_train,Ford kills ''Everest'' procurement software system,"Ford Motor Co. has decided to stop work on a major procurement software system built around Oracle''s 11i E-Business Suite of apps and plans to move back toward its original custom-written, mainframe-based applications.",Sci/Tech
107_train,IBM in pension settlement talks,"NEW YORKIBM said yesterday it is in talks to settle a mammoth lawsuit alleging a pension plan adopted by the firm in the 1990s discriminated against 140,000 older workers.",Business
1080_train,Pensions chaos as computers fail,ENGINEERS were today tackling a massive computer failure which has caused chaos at the Department for Work and Pensions. Up to 80 per cent of the ministrys systems for processing millions of pension and benefit payments collapsed on Monday.,Sci/Tech
1081_train,IBM Adds To Its Blade Servers,"IBM on Friday expanded its blade-server portfolio with six new systems, new options for attached-disk drives, and improved power management.",Sci/Tech
1082_train,Sun to offer new Solaris as  #39;open-source #39; software,"It cost Sun Microsystems \$5 billion to develop Solaris, a powerful computer operating system used by governments and giant corporations worldwide.",Sci/Tech
1083_train,Ballmer flags security features for a pre-Longhorn Windows  #39; &lt;b&gt;...&lt;/b&gt;,"Speaking at the Gartner Symposium and ITxpo 2004 in Orlando, Florida, yesterday, Microsoft CEO Steve Ballmer outlined new security initiatives, some of which would make it into a pre-Longhorn  #39;Release 2 #39; for Windows, next year.",Sci/Tech
1084_train,Start-up looks to help firms hang out their e-shingles,"Demandware service designed to help midsize firms open shop online as fast as with a hosted service, but with more customization.",Sci/Tech
1085_train,Ultrawideband Heralds Zippier Wireless Connections, SAN FRANCISCO (Reuters) - Think of it as Wi-Fi on steroids.  On its way to U.S. living rooms and maybe even automobiles is a  new type of high-speed wireless connection that promises  downloaded data rates of up to 1 gigabit per second -- roughly  18.5 times the speed of Wi-Fi -- to personal computers and  other devices.,Sci/Tech
1086_train,iMac G5: Most Elegant Desktop Ever," #147;I am writing these words on the most elegant desktop computer I #146;ve ever used, #148; writes Walt Mossberg about the iMac G5 in the Wall Street Journal,  #147;a computer that is not only uncommonly beautiful but fast and powerful, virus-free and surprisingly affordable. This machine takes up no more space on a desk than a flat-panel monitor. In fact, the entire computer is contained behind a flat-panel screen in a space just 2 inches thick  #151; thinner than most flat-panel monitors alone. #148; Sep 23",Sci/Tech
1087_train,Symantec Upgrades Norton Security Products,Symantec has unveiled new versions of its Norton security products--beefing up some of the real-time and automated features--and will release them in the next few weeks. ,Sci/Tech
1088_train,Where Good Wi-Fi Makes Good Neighbors,A New York City group creates a kit so that anyone with an old computer can create a wireless access point.,Sci/Tech
1089_train,Latest Conspiracy Theory Hits the Ether,"Even as Sen. John F. Kerry''s campaign is steadfastly refusing to challenge the results of the presidential election, the bloggers and the mortally wounded party loyalists and the spreadsheet-wielding conspiracy theorists are filling the Internet with head-turning allegations.",Sci/Tech
108_train,Levi Strauss Posts Profit," CHICAGO (Reuters) - - Jeans maker Levi Strauss   Co. on  Tuesday posted a quarterly profit, compared with a year-earlier  loss, helped by sales of higher-priced products in Europe and  Asia and lower costs.",Business
1090_train,Fuel Cell Ups Power Tenfold,"The much-touted fuel cell technology has got a reprieve from being written off. Japanese companies, network operator NTT DoCoMo and manufacturer Fujitsu are reported to have co-developed a fuel cell recharger for DoCoMo #39;s Foma family of 3g handsets.",Sci/Tech
1091_train,U.S. intelligence overhaul eyed amid concerns for antiterror fight,Congressional hearings raised more questions than answers about impending organizational changes in the intelligence community and their impact on efforts to improve the nation''s antiterror fight.,Sci/Tech
1092_train,PeopleSoft posts solid Q3 revenue growth,"PeopleSoft raced past analyst expectations in its just-ended quarter, reporting on Thursday a 12 percent increase in revenue, to \$698.8 million, and a slight uptick in revenue from software license sales.",Sci/Tech
1093_train,PC Shipments Rise 12 Pct Worldwide in 3rd Quarter," SAN FRANCISCO (Reuters) - Shipments of personal computers  in the third quarter rose 12 percent, driven by strong  corporate demand and ongoing strength in Europe, the Middle  East and Africa, a market research firm said on Monday.",Sci/Tech
1094_train,McAfee Debuts Enterprise Anti-Spyware Tool (NewsFactor),NewsFactor - Security software firm McAfee has unveiled a new module for its virus-scan engine that is designed to help businesses fight spyware.,Sci/Tech
1095_train,"A Greener Globe, Maybe","With all the hand-wringing about the economic perils of falling populations, there could be one beneficiary: the environment.",Sci/Tech
1096_train,Japanese Co. Markets Dual-Network Phone,Japan #39;s top mobile carrier has begun marketing a cell phone that can make Internet calls over Wi-Fi wireless networks in addition to regular ones.,Sci/Tech
1097_train,Pentium M may support location-based services in 2006,Mobile computers could provide customized information or perform specialized functions based on their changing locations.,Sci/Tech
1098_train,"PeopleSoft''s Craig Conway had hits, losses","From a changed attitude at PeopleSoft Inc. to the company''s acquisition of J.D. Edwards   Co. last year, Craig Conway clearly made a difference during his five years as CEO.",Sci/Tech
1099_train,Microsoft Regains AOL #39;s Support for Anti-Spam Technology,"America Online Inc. said yesterday it is once again supporting a Microsoft Corp. plan to combat unwanted bulk e-mail by verifying senders of messages, a move that could rekindle industry adoption of a new system for attacking spam.",Sci/Tech
109_train,Bear Stearns Bond Unit Is Under SEC Investigation,"Bear Stearns has received subpoenas from federal investigators looking into its municipal bond business, the company reported in documents filed with the Securities and Exchange Commission yesterday.",Business
10_train,"Stocks Rise, Oil Falls, Fed Wait Resumes"," NEW YORK (Reuters) - Stocks rose on Tuesday as a oil prices  slid below \$48 a barrel, offsetting caution as investors waited  for an expected quarter-point hike in U.S. interest rates and  results from technology bellwether Cisco Systems Inc. &lt;A HREF=''http://www.investor.reuters.com/FullQuote.aspx?ticker=CSCO.O target=/stocks/quickinfo/fullquote''&gt;CSCO.O&lt;/A&gt;.",Business
1100_train,"After delays, Intel points to chip-making advance","Intel Corp is on track to introduce the worlds most advanced chip production technology in its products next year, the largest semiconductor maker said on Sunday.",Sci/Tech
1101_train,"Rocket Fuel in Milk, Lettuce",The Food and Drug Administration says a rocket fuel component contaminates nearly 94 percent of the milk and lettuce samples surveyed. The compound is suspected of having nasty effects in humans. By Amit Asaravala.,Sci/Tech
1102_train,Microsoft Readies Business-Intelligence Charge,Microsoft on Wednesday unveiled new and reworked business-intelligence tools that provide capabilities ranging from self-service report building for non-techs to mining information from data flows outside of a database.,Sci/Tech
1103_train,Forgotten Remembers to Surprise,"The Forgotten plays by all the rules expected from paranormal thrillers to deliver a nice punch, hold the melodrama. By Jason Silverman.",Sci/Tech
1104_train,Japan''s Sharp develops world''s largest LCD television (AFP),"AFP - Sharp Corp. has developed a 65-inch (1.66 metres) liquid crystal display (LCD) colour television under its AQUOS brand, the world''s largest.",Sci/Tech
1105_train,Nokia adds anti-virus protection to new smart phone,"Finnish mobile phone manufacturer Nokia Corp. will offer mobile anti-virus software through F-Secure Corp. as one of the features in its new Nokia 6670 smart phone when it is released in October, the companies announced Thursday.",Sci/Tech
1106_train, #39;It flew like a dream #39;,Test pilot makes successful foray into space on rocket ship. But there was some drama... THE spectators on the ground gasped as the rocket ship rolled at least 16 times in about 16 seconds.,Sci/Tech
1107_train,Microsoft Refreshes Mac Office,"While the battle between Microsoft and Apple Computer for the nascent digital media market intensifies, Microsoft #39;s Mac Business Unit has released a significant update for Office 2004 for Mac.",Sci/Tech
1108_train,Conway: ''Genghis Khan'' comparison was fair,"Larry Ellison even compares himself to the warlord, according to PeopleSoft''s former CEO, defending previous remarks he made.",Sci/Tech
1109_train,First Thoughts - PalmOne TungstenT5,"I #39;ve had my review unit of the PalmOne TungstenT5 for about 8 hours now, and I #39;m ready to make a first pass at PalmOne #39;s newest high-end model.",Sci/Tech
110_train,Marriott earnings up 45 percent on growing demand for rooms,"COLLEGE PARK, Md. - Hotel operator Marriott International Inc. said its third-quarter earnings rose 45 percent as growing demand for rooms helped drive revenue up 9 percent.",Business
1110_train,HP Dumps 64-bit Interests,"HP (Quote, Chart) is doing a lot of explaining after it revealed this weekend that it will no longer put Itanium processors in its high-performance workstations.",Sci/Tech
1111_train,Google to support POP connection,"Looks like Gmail is about to officially offer POP access, according to this message in their support database. This function has already been enabled by lots of third party tools, but has been expected from Google themselves for quite a while.",Sci/Tech
1112_train,House Backs Crack Down on Video Voyeurs (AP),"AP - Calling video voyeurism the new frontier of stalking, the House on Tuesday approved legislation to make it a crime to secretly photograph or videotape people, often for lascivious purposes.",Sci/Tech
1113_train,Vitamin E Thwarts Colds in the Elderly,"By Amanda Gardner, HealthDay Reporter    HealthDayNews -- Nursing home residents who take daily doses of vitamin E appear to be less likely to develop certain respiratory infections, a new study finds.    The protective effect was most pronounced with upper respiratory infections, such as the common cold...",Sci/Tech
1114_train,Get heart smart,"A few days after the news of former President Clinton #39;s bypass surgery, I felt myself getting seriously short of breath and unable to walk more than a few steps without stopping.",Sci/Tech
1115_train,HP to launch  #39;virus-throttling #39; software,"SAN FRANCISCO--Hewlett-Packard plans to give customers a new weapon against viruses: Software that crimps their spread. Early next year, the computer maker will begin selling software designed to slow the ",Sci/Tech
1116_train,"Luddite &lt;em&gt;Reg&lt;/em&gt; readers want flat weather, please","&lt;strong&gt;Letters&lt;/strong&gt; Oh, and don''t be mean to spamvertised sites",Sci/Tech
1117_train,Researchers Turn to Adult Stem Cells,"Biotech firms face skepticism as they try to show that their research can work as medicine and as a business. &lt;FONT face=''verdana,MS Sans Serif,arial,helvetica'' size=''-2'' color=''#666666''&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",Sci/Tech
1118_train,iRobot readies for war--and the household,"Whether mopping up a battlefield or living room floor, the robot maker is working on vehicle to get the job done.\",Sci/Tech
1119_train,Yahoo Bolsters Local Search Business Listings,Yahoo has quietly expanded its local business listings and rolled out a service that gives businesses control over their listings in Yahoo Local through a new paid inclusion program.,Sci/Tech
111_train,Dollar hits new low against euro,"The euro surged to a new high against the US dollar for the fourth straight day Friday, although the greenback rose off its low point.",Business
1120_train,Microsoft Vows Fight on Latest Patent Rejection,"By ALLISON LINN    SEATTLE (AP) -- In a preliminary ruling, the government rejected Microsoft Corp. (MSFT)''s 1996 patent on technology for saving files on computers using easy-to-remember names...",Sci/Tech
1121_train,Nokia and Vodafone to Lead Roadmap for Mobile Java Standards,"LONDON, Aug. 26 /PRNewswire-FirstCall/ -- In a move that is intended to deliver benefits for the mobile industry and for mobile customers, Nokia and Vodafone today announce the formation of a mobile service architecture initiative.",Sci/Tech
1122_train,San Fran wants free citywide WiFi,San Francisco Mayor Gavin Newsom has set a goal of providing free wireless Internet activity in his city that sees itself as a vanguard of the Internet revolution.,Sci/Tech
