text,label,predicted_label
"The company teams up with Flarion, which makes a new kind of wireless technology that competes with Wi-Fi and 3G cellular.",Sci/Tech,Sci/Tech
"Google released a free tool today that lets people simultaneously search the Web and their personal computers for information, a move analysts described as a potential blow to rivals. &lt;FONT face=''verdana,MS Sans Serif,arial,helvetica'' size=''-2''\ color=''#666666''&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",Sci/Tech,Sci/Tech
"IT #39;S OFFICIAL. People didn #39;t flock to buy LCD units in the second quarter which is disappointing news for manufacturers, which are now awash with the fancy thin film transistor glass. ",Sci/Tech,Business
"Corel Corporation has bought Jasc Software, the publishers of the highly rated Paintshop Pro graphics software. The buy out strengthens Corel #39;s already strong presence in the PC graphics market - particularly ",Sci/Tech,Business
"It #39;s time to face Doom yet again. The latest MyDoom virus variant is once again running amok across the Internet, according to reports from security firms.",Sci/Tech,Sci/Tech
 DALLAS (Reuters) - Several Wall Street analysts cut their  forecast on earnings for American Airlines parent AMR Corp.  &lt;A HREF=''http://www.investor.reuters.com/FullQuote.aspx?ticker=AMR.N target=/stocks/quickinfo/fullquote''&gt;AMR.N&lt;/A&gt; on Thursday while the airline''s chief executive said  high fuel prices had stung the world''s largest carrier.,Business,Business
"Deepening a rift over global warming policy, some European partners are accusing the Bush administration of trying to weaken a report that warns the Arctic is warming almost twice as fast as the rest of the planet.",Sci/Tech,Sci/Tech
"Holtz replaces John Thompson, who was forced out about two weeks ago after a 3-and-20 record in two seasons with the Pirates. Holtz has spent six years as assistant head coach and quarterbacks coach at South ",Sports,Sports
"LITTLE ROCK, Ark. - Wal-Mart Stores Inc., the world''s largest retailer, lowered its sales forecast for August, citing slow back-to-school sales and the effects of Hurricane Charley...",World,Business
Swiss authorities have hailed as a success what they said was the world #39;s first binding internet vote in a national referendum.,Sci/Tech,Sci/Tech
"New York City submitted its formal plan Monday to host the 2012 Olympics, as the centerpiece of the bid, a West Side stadium, continues to spark heated exchanges.",Sports,Business
"KABUL, Afghanistan -- NATO troops in Afghanistan have detained a man at Kabul airport who had traces of explosives on his hands, a day after a US security firm was bombed, killing 10 people, including three Americans.",World,Business
"Earlier this year, IBM #39;s Power architects and forward-thinking partners held court at the Power Everywhere event in New York to extol the future of Power Architecture in all its manifestations.",Sci/Tech,Business
"LOS ANGELES - The first time Southern California drilled Notre Dame by 31 points two years ago, it was a fluke. The second time was a coincidence.",Sports,Business
Celtic manager Martin O #39;Neill last night said it was time for the board to  quot;take stock quot; after their latest European adventure came to an end weeks before Christmas.,Sports,Sports
 SAN FRANCISCO (Reuters) - Intel Corp. &lt;A HREF=''http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=INTC.O qtype=sym infotype=info qcat=news''&gt;INTC.O&lt;/A&gt; on Thursday  said it has upgraded the wireless networking capabilities of  its Centrino line of notebook computer chips to allow broader  network access with improved security.,Sci/Tech,Sci/Tech
"AP - NASA has awarded control of its DC-8 research aircraft to the Upper Midwest Space Consortium at the University of North Dakota, a move officials say will create new jobs at the university and give it added national prestige.",Sci/Tech,Sci/Tech
Israel''s latest and most advanced spy satellite - Ofeq 6 - has been destroyed during launch.,Sci/Tech,Business
"KHARTOUM, Sudan -- The Sudanese government faced intense Western and African Union pressure to accept additional observers and soldiers in the Darfur region, as Foreign Secretary Jack Straw of Britain flew to Sudan yesterday to urge the country to do more to disarm marauding militias.",World,Sci/Tech
"ANAHEIM, Calif. - So now the Red Sox rotation, with Curt Schilling, David Wells, Tim Wakefield and likely Pedro Martinez, is as old as Fenway Park.",Sports,Business
"While the Dallas Mavericks have an overhauled roster, a more conventional rotation and a new commitment to defense, they also still have Dirk Nowitzki.",Sports,Sports
"From Montana to Maine, Puerto Rico to Canada, John Gibbons tagged along wherever the military deemed his father should live. The constant travel gave him a taste of the nomadic life of a baseball manager, his future profession. It also gave him an accent all his own, a Texas twang inflected with tinges of New England.",Sports,World
"AP - A federal judge on Wednesday rejected a request from the woman accusing Kobe Bryant of rape to remain anonymous in her civil lawsuit against the NBA star, saying the public''s interest in open court proceedings outweighs her desire to shield her identity.",Sports,Sci/Tech
"In an eyebrow-raising forecast, Gartner researchers said they believe that as many as 50 percent of the IT operational jobs in the U.S. could disappear over the next two decades because of improvements in data center technologies.",Sci/Tech,Sci/Tech
"The former Torrance High star #39;s salary is a burden for tight-fisted Pittsburgh, which would get pitching help in return. By Alan Robinson.",Sports,Sports
 RIO DE JANEIRO (Reuters) - Guatemala coach Ramon Maradiaga  believes his players were too individualistic in Saturday''s 5-0  drubbing by Costa Rica and urged them not to repeat their  mistakes in Wednesday''s qualifier against Honduras.,Sports,Sci/Tech
The French government demanded the release of two journalists kidnapped in Iraq by a group demanding that France rescind a ban on Islamic headscarves in the nation #39;s schools within 48 hours.,World,Sci/Tech
"Reuters - U.S. oil prices hovered near  #36;47 a\barrel on Wednesday, awaiting data that was expected to show a\big drop in fuel stocks in the United States due to\weather-related disruptions to output and shipments.",Business,Sci/Tech
"com October 21, 2004, 7:42 AM PT. This priority retains its ranking at number five as more and more companies deploy Web Services to share business logic, data and processes with each other and with clients.",Sci/Tech,Business
"If you #39;re one of about 200 million people using older versions of Windows and you want the latest security enhancements to Internet Explorer, get your credit card ready.",Sci/Tech,Business
"In Thursday #39;s two NLDS Game 2 matchups, Dodgers starter Jeff Weaver has a tough assignment vs. St. Louis, while the Astros aim to take a commanding series lead over Atlanta with their second Cy Young candidate on the mound in as many days.",Sports,Sports
"The British grand prix is on Bernie Ecclestone #39;s draft 2005 calendar, which will be published after a World Council meeting in France.",Sports,Sports
"AFP - South Africa formally recognized the pro-independence government in the annexed Moroccan territory of Western Sahara, prompting Rabat to recall its ambassador from Pretoria in protest.",World,Sci/Tech
"One of the key members of the Bali bomb conspiracy, Idris, has escaped punishment for the crime. Indonesia correspondent Tim Palmer reports, the man confessed to his involvement in the Bali bombing, but the ",World,Business
" TAIPEI (Reuters) - Typhoon Aere, packing strong winds and  heavy rains, churned toward Taiwan on Tuesday, disrupting air  and sea traffic and forcing financial markets, schools and  businesses in capital Taipei and nearby counties to close.",World,World
"It #39;s almost certainly too little too late, although after what took place here on Saturday afternoon the rope reserved for the head coach has been put aside for the time being.",Sports,Business
Don #39;t look for Alex Ferguson and Arsene Wenger to sit down for a drink after today #39;s critical showdown between Manchester United and Arsenal.,Sports,Sports
"Two employers of a Turkish truck driver taken hostage in Iraq have agreed to pull out of the country following a threat by his captors to behead him, media sources report.",World,Sports
"IBM (Quote, Chart) is easing restrictions on its ISV (define) membership program, opening the door for more marketing and sales help for companies that make software based on IBM #39;s middleware platform.",Sci/Tech,Business
"BAGHDAD A US jet fired missiles on Friday in the Sunni insurgent stronghold of Falluja, the fourth day of attacks on the city where US and Iraqi troops have no control, officials said.",World,World
GUANTANAMO BAY US NAVAL BASE: US military authorities yesterday defended the special trials for war on terror detainees that start this week as they stepped up security at the Guantanamo Bay base in Cuba for the hearings.,World,Sci/Tech
"When the violent video game  quot;Grand Theft Auto: San Andreas quot; hits stores on Tuesday, its sales could eclipse Hollywood #39;s most successful films, even as it draws the ire of critics.",Sci/Tech,Sci/Tech
"EVERTON are in talks with European champions FC Porto to sign South African striker Benny McCarthy, it was reported today. McCarthy was the Portuguese league #39;s top scorer last season with 20 goals but is not ",Sports,Sports
Microsoft''s CEO lends some insight into the 2006 release date of the slow-moving next version of Windows.,Sci/Tech,Sci/Tech
"Forbes.com - When Robert Poor looks at the world, he sees 50 billion embedded microcontrollers, the workhorse chips inside cars, traffic lights and air conditioners, doing their jobs in splendid isolation. Then he imagines what will happen when they all can talk to one another.",Business,Sci/Tech
"Revenge, reprimand and schadenfreude really do feel good, according to a brain scan study published today. As well as explaining why Dirty Harry declared  quot;Go ahead, make ",Sci/Tech,Sci/Tech
AP - Deron Williams scored 20 points to lead No. 5 Illinois to a 89-72 win over No. 24 Gonzaga on Saturday in the John Wooden Tradition at Conseco Fieldhouse.,Sports,Sci/Tech
"The decision makers at ABC are pretty much beyond embarrassment, particularly given the fact that the locker room romp was designed to promote a show called  quot;Desperate Housewives.",Sports,Business
"Reuters - California vaccine maker VaxGen Inc.\will make a new and improved version of the anthrax vaccine for\use in case of a biological attack, the U.S. government said on\Thursday.",Sci/Tech,Sci/Tech
"KATHMANDU - Hundreds of Maoist rebels stormed a town in the north-west of Nepal yesterday, bombing government buildings and killing a soldier, while others kept up a blockade on roads surrounding the capital, Kathmandu, for a fifth day.",World,Business
"The euro surged to a new high against the US dollar for the fourth straight day Friday, although the greenback rose off its low point.",Business,Sci/Tech
"A new international space station crew will leave two days later than scheduled next month to accommodate repairs to the docking system, Russia #39;s space agency said Wednesday.",Sci/Tech,Business
Rio Ferdinand returned to action after his eight-month suspension on Monday and produced a solid performance as Manchester United beat local rival Liverpool 2-1 to climb five places in the Premier League.,Sports,Business
"Whether mopping up a battlefield or living room floor, the robot maker is working on vehicle to get the job done.\",Sci/Tech,Business
Ireland held host France to a 0-0 draw Saturday in a World Cup qualifying match at Stade de France. Defender John O #39;Shea missed a great chance to win the match for Ireland midway ,Sports,World
Sunscreen and floppy hats are the normal tools to fight UV radiation in Australia. Now you can add laundry detergent. By Stephen Leahy.,Sci/Tech,Sci/Tech
Former Liverpool star John Toshack is tipped to become the new Wales coach when the Football Association of Wales makes the announcement on Friday.,Sports,Sports
"Already the Phoenix Coyotes managing partner, The Great One was asked by general manager Mike Barnett if he #39;d be interested in running the team from behind the bench, too.",Sports,Sports
"Deep into overtime, the breaks were going against the US women #39;s soccer team. First came a last-gasp goal that stole victory in regulation, then came a wide-open shot that bounced off the goalpost.",Sports,Sports
"Forbes.com - Early last year 61-year-old Judy Norris was ready to stop all treatment and let her cancer run its course. Her kidney tumor, diagnosed in 1997, had spread to her abdomen, pancreas and both lungs. Six months of treatment with toxic interleukin-2, one of the only treatments for advanced kidney cancer, had eroded nerves in her hands and feet, caused frequent vomiting and made her skin peel all over--but did nothing to slow the tumors'' relentless growth. In June, in a last-ditch effort to save her life, her oncologist recommended an experimental pill from Pfizer called SU11248. ...",Business,Business
"Texas Instruments unveiled a single chip solution for cell phones. Code-named  quot;Hollywood, quot; the new chip integrates a tuner, OFDM demodulator and channel decoder processor.",Sci/Tech,Sci/Tech
"ACCORDING TO MARKET watchers, iSuppli, in Q1-Q2 2004 Spansion (AMD/Fujitsu) remained Number One mobile phone flash memory supplier, a position it first stole from Intel in 2003.",Sci/Tech,Business
"Microsoft on Tuesday laid out five new security bulletins, including three that address problems in Windows XP Service Pack 2 (SP2), the massive security update rolled out in October, and one that fixes a vulnerability made public several weeks ago.",Sci/Tech,Sci/Tech
The X Prize Foundation and the World Technology Network announced today the formation of a joint venture to launch a series of technology incentive prizes to help spur innovation and breakthroughs in a range of scientific arenas.,Sci/Tech,Sci/Tech
"Reuters - Lehman Brothers Holdings Inc. \has tentatively agreed to pay  #36;222.5 million to settle an\investor lawsuit over its role as an underwriter for Enron\Corp., a person familiar with the situation said on Thursday.",Business,Sci/Tech
DUBLIN - Robbie Keane scored off a Damien Duff cross to give Ireland a 1-0 victory over Croatia in an exhibition soccer match Tuesday.,Sports,World
" quot;This is equivalent to a lack of faith in the work carried out up until now, quot; said Castellani in a statement.  quot;For this reason I have decided to offer my resignation as president to the board on November 24th ",Sports,Business
University of Bonn -- Physicists from the University of Bonn have succeeded in taking a decisive step forward towards processing quantum information with neutral atoms: in the latest issue of the ''Physical Review Letters'' vol. 93 (2004) they describe how they managed to set up a quantum register experimentally...,Sci/Tech,Sci/Tech
Two new Internet domain names -quot;.post quot; and  quot;.travel quot;  -ld appear on-line as early as next year as the Internet #39;s key oversight board announced preliminary approval on Wednesday.,Sci/Tech,Sci/Tech
"Aug. 19 (Bloomberg) -- UK Prime Minister Tony Blair has changed his holiday plans following Wednesday #39;s discovery of two explosive devices near Italian Prime Minister Silvio Berlusconi #39;s Sardinian villa, where he had been staying, Il Corriere della Sera ...",World,Business
"SAN FRANCISCO (CBS.MW) -- The US real-estate boom, coupled with low interest rates, has given mortgage companies a surge of new business.",Business,Business
"LONDON (Reuters) - Oil producers are emerging to lock in record high prices for their future crude output, but activity is modest as firms still fear calling a premature end to this year #39;s stunning price rise, traders said on Friday. ",Business,Sci/Tech
"In more than two seasons with the New Orleans Saints, JT OSullivan never took a snap in a regular-season game. But during the preseason and in NFL Europe, OSullivans play caught the eyes and turned the heads of several NFL coaches.",Sports,Business
"SAN FRANCISCO--Hewlett-Packard plans to give customers a new weapon against viruses: Software that crimps their spread. Early next year, the computer maker will begin selling software designed to slow the ",Sci/Tech,Sci/Tech
"DEMONSTRATORS set fire to United Nations offices and stoned United States soldiers in the Afghan city of Herat, a day after the government sacked its popular and powerful warlord as governor.",World,World
"Bode Miller, of the United States, is airborne as he speeds past a gate on his way to capture fourth place in a men #39;s ski world cup downhill race at Val D #39;Isere, France, Saturday, Dec, 11, 2004.",Sports,Sports
It #39;s the unwritten rule of sports. A starter who has to sit out games because of an injury should return to the lineup once healthy.,Sports,Sports
"Reuters - The European Union is confident of a\deal on Tuesday for France to host a  #36;12 billion global nuclear\fusion project after Japan signaled it would give up its bid in\return for compensation, an EU source said on Monday.",Sci/Tech,Sci/Tech
"The second of two American hostages in Iraq has been beheaded by a militant outfit headed by Al Qaeda ally Abu Musab al-Zarqawi, reports Arabic television channel Aljazeera quoting a statement on a Muslim extremist website.",World,World
"FAISALABAD, Pakistan : Sri Lanka extended their lead to 164 runs against Pakistan on the back of an unbeaten half century by Sanath Jayasuriya on the third day of the first Test at Iqbal stadium here.",Sports,World
Ricky Williams rejects a deal that would have allowed him to serve a four-game suspension this season and return to the NFL next year.,Sports,Business
"Reuters - A California-based pornographer\said on Monday it has sued Google Inc. , alleging that\its leading Internet search engines are illegally allowing\people to view hijacked versions of its nude photos and to\access its Web site with stolen passwords.",Sci/Tech,Sci/Tech
The Packers traded cornerback Mike McKenzie and a conditional draft choice to the Saints yesterday for reserve quarterback J.T. O''Sullivan and a second-round pick.,Sports,Sports
"World number 2 Lindsay Davenport has set herself the target of taking over top spot from France #39;s Amelie Mauresmo, less than 200 points ahead in the WTA rankings, by the turn of the year and showed no mercy against Molik to reach the last eight.",Sports,Sci/Tech
AC Milan begin their Serie A campaign at home to newly-promoted Livorno on Saturday evening under the weight of great expectation.,Sports,Sports
Survivors of a fatal fire on a submarine today spoke of their experience as Canadas defence minister said he could not rule out suing the British Government.,Sci/Tech,World
"Search company Google Inc. has lost the services of Evan Williams, father of the Blogger Web logging service.",Sci/Tech,Business
Oil prices fell for the fifth day in a row on Thursday after word of a peace deal in the embattled Iraqi city of Najaf raised hopes of more reliable oil shipments from the energy-rich country and encouraged a run of profit-taking by ,Business,Sci/Tech
"Notre Dame''s outgoing president criticized the decision to fire Tyrone Willingham after just three seasons, saying he was surprised the coach was not given more time to try to succeed.",Sports,Sports
"WASHINGTON - Offering a simple, ''Thank you America,'' Iraqi interim Prime Minister Ayad Allawi declared Thursday that his country is succeeding in its effort to move past the war that ousted Saddam Hussein.    In an appearance that President Bush''s advisers hoped would ease American voters'' doubts about the troubled campaign in Iraq, Allawi told a joint meeting of Congress that despite struggles and setbacks, ''the values of liberty and democracy'' are taking hold there...",World,World
Ian Poulter won a play-off with Sergio Garcia yesterday to guarantee his season is remembered for more than funny trousers and a Ryder Cup cap.,Sports,Sci/Tech
"Reuters - With a possible billion-dollar\windfall at stake, U.S. music companies are eagerly awaiting\the full-blown development of the stateside ringtone market.",Sci/Tech,Sci/Tech
HOUSTON Roger Federer was at his best after midnight. Too bad hardly anyone was there to see it. With less than 500 fans remaining in the stands in the early Thursday morning after a deflating day of rain ,Sports,Business
" LONDON (Reuters) - Oil prices hovered below \$47 a barrel on  Wednesday, awaiting U.S. data that was expected to show a big  drop in fuel stocks after Hurricane Ivan disrupted operations.",Business,Business
"BEIJING Sept. 20, 2004 - President Hu Jintao #39;s new status as commander of China #39;s military should strengthen efforts to fight corruption and control a surging economy, forcing resistant lower-level officials ",World,Sci/Tech
"Aside from the few who speak out publicly, musicians typically sit out the debate over file sharing. Now, a new survey has found that most artists don''t view unauthorized swapping as a threat to their livelihood.  &lt;FONT face=''verdana,MS Sans Serif,arial,helvetica'' size=''-2'' color=''#666666''&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;",Sci/Tech,Sci/Tech
"Routemaster buses, red telephone boxes, high street bank branches - are becoming endangered species, nostalgic protests inevitably follow.",Sci/Tech,Sports
"MUMBAI State Bank of India, the nation #39;s largest lender, and its 26 state-owned rivals face a nationwide walkout on Tuesday by about one million employees who are demanding that banks double a proposed wage increase.",Business,Business
"UN Secretary-General Kofi Annan on Thursday endorsed scientific studies that involve the cloning of human embryos, differing with the Bush administration #39;s push for a treaty to ban such research.",Sci/Tech,Sci/Tech
"LONDON Bill Nicholson, who managed Tottenham Hotspur in its glory days of the 1960s and 70s, died on Saturday after a long illness, family members said.",Sports,Business
US OIL prices fell further yesterday on continued profit-taking as producer-group OPEC promised production increases in the coming months.,Business,Sci/Tech
"Business News, BEIJING, China #39;s annual inflation rate dropped sharply in November, providing further evidence that steps to cool the economy are working and reducing the chances in the near term of a fresh rise in interest rates.",Business,Business
"AP - For the first time since Bill Parcells lost his Dallas debut in 2003, the Cowboys have a losing record.",Sports,Sci/Tech
"Atlanta, Houston, Miami and Tampa, Fla., were selected as the four finalists for the 2009 Super Bowl. The four were recommended by a committee of owners at a meeting in Atlanta on Wednesday.",Sports,World
"Reuters - Kmart Holding Corp. (KMRT.O) on Monday\reported its third consecutive quarterly profit as cost cuts\made up for slumping sales, and its cash pile grew to about\ #36;2.6 billion.",Business,Business
"SHANGHAI, China -- Argentina #39;s Guillermo Canas overpowered Jiri Novak in straight sets to book his place in the final of the Shanghai Open.",Sports,Business
"AP - The Bush administration wants Congress'' permission to shift nearly  #36;3.5 billion of the  #36;18.4 billion in Iraqi reconstruction aid to security and faster economic growth, documents submitted to lawmakers show.",World,Sci/Tech
"MIAMI - Just when it appeared Eddie Jones was becoming a has-been offensively, the 33-year-old reached back in time Saturday against Washington and had one of the best rapid-fire showings of his five-year Heat career.",Sports,Business
Israeli Prime Minister Ariel Sharon has again threatened to take action against Palestinian leader Yasser Arafat. In an hour-long interview with Israel Radio he also expressed doubts about Syria #39;s planned troop redeployment in Lebanon.,World,Business
NewsFactor - Computer security firm Secunia has reported what it terms a ''highly critical'' vulnerability in the popular Microsoft (Nasdaq: MSFT) Word desktop computer application. The firm has confirmed the existence of the hole in versions of Word as recent as Word 2000.,Sci/Tech,Sci/Tech
"How big is your key ring? There are the house keys, of course, and the car keys and the little fob for unlocking the doors from 30 feet away. And now there''s this new blue thingamajig for logging onto the America Online Internet service. You don''t have to use it, but it''s not a bad idea, if you want to ...",Business,Business
Pressure on French advertising group Havas mounted yesterday as it emerged that corporate raider and dissident shareholder Vincent Bollore has asked for seats on the company #39;s board.,Business,Sci/Tech
AP - The British government announced Thursday it had struck a deal to share counterterrorism technology and information with the United States.,Sci/Tech,Sci/Tech
"CBC SPORTS ONLINE - David Hearn became the latest Canadian to qualify for the PGA Tour, earning his card by a single stroke. Hearn, from Brampton, Ont.",Sports,Sports
"With a burst of speed, Darius Walker sprinted around right end and ran untouched into the south end zone for a 6-yard touchdown Saturday.",Sports,Sports
SAN FRANCISCO - The many new mechanisms to secure and speed up applications running on networks are heading for consolidation that should make it easier and less expensive to deliver the kind of performance end users want.,Sci/Tech,Business
AP - Auburn and LSU have played several nickname games in recent years: The Fire Game. The Interception Game. The Cigar Game.,Sports,Sci/Tech
"At last, a contest to savour more than a week into this tournament of mis-matches and bad weather - the West Indies demolished South Africa by five wickets in thrilling fashion here yesterday.",Sports,Sports
With Derek Lowe #39;s days in Boston almost certainly numbered -- and Pedro Martinez #39;s future here in question -- the Red Sox are expected to greet All-Star righthander Carl Pavano this week on Yawkey Way.,Sports,Sports
"Mike Volpi, routing technology general manager at Cisco, spoke recently about important new application-aware networking technology, service providers and his 10 years at Cisco.",Sci/Tech,Sci/Tech
"Ask the Pittsburgh Steelers about the New England Patriots #39; NFL record 21-game winning streak, and it #39;s likely they will turn the question around.",Sports,Business
Manchester United Football Club manager Sir Alex Ferguson admits he has made mistakes with his line-ups this season. The Reds have slipped eleven points behind leaders and champions Arsenal after only nine ,Sports,Business
"The Motley Fool - It''s rare to hear the words ''innovation'' and ''big company'' in the same sentence. During the 1980s, IBM (NYSE: IBM - News) was a visionary in the PC revolution -- but gave away the profits to upstarts like Microsoft (Nasdaq: MSFT - News) and Intel (Nasdaq: INTC - News).",Sci/Tech,Business
"Law enforcement authorities on both sides of the Atlantic have arrested 28 people on suspicion of operating Web sites that were allegedly designed to steal, sell and forge credit cards and identification documents.\&lt;FONT face=''verdana,MS Sans Serif,arial,helvetica'' size=''-2''\ color=''#666666''&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",Sci/Tech,Sci/Tech
Group is asking the Supreme Court to overturn decision in favor of file-swapping networks. Representatives for the music and movie industries have filed a petition asking the US Supreme Court to overturn an ,Sci/Tech,Sci/Tech
"Valentino Rossi (L), in a Yamaha, sneaks past Sete Gibernau to take the lead for good at the Australian Grand Prix on Phillip Island, Oct 17.",Sports,Sports
"Researchers say they have identified brain cell receptors that appear to be responsible for nicotine addiction, a finding of clear importance for smokers who are desperately trying to kick the habit.",Sci/Tech,Sci/Tech
CRN India: Red Hat aims to more deeply penetrate the enterprise by launching its first Linux distribution based on the Linux 2.6 kernel.,Sci/Tech,Sci/Tech
"Austrian Stephan Goergl of Austria won a World Cup Super-G race, ending American Bode Miller #39;s three-race winning streak Thurday in the Colorado Rockies.",Sports,Sci/Tech
The software juggernaut that conquered the desktop is racing to get Windows into your next car.,Sci/Tech,Business
"The Mike Mularkey era in Buffalo began with an 0-4 record. But eight weeks and six victories later, the Bills suddenly find themselves in the playoff hunt.",Sports,Business
"Siemens mobile has warned users about a software-related defect in its 65 product series, the C65, CX65, M65, S65 and SL65 may cause an extremely loud melody when the battery is run down causing your connection to be lost.",Sci/Tech,Sci/Tech
" NEW YORK (Reuters) - Olympic 400 meter relay gold medallist  Alvin Harrison has accepted a four-year ban for drugs  violations, the United States Anti-Doping Agency said on  Tuesday.",Sports,Business
Afghan President Hamid Karzai began a visit to neighbouring Pakistan on Monday to discuss cooperation in the battle against Islamic militants ahead of his October re-election bid.,World,Business
"The evolution of a physique for long-distance running is what made humans look the way we do now -- whether winning a marathon, nursing a strained Achilles #39; tendon ",Sci/Tech,Sports
"Biotech firms face skepticism as they try to show that their research can work as medicine and as a business. &lt;FONT face=''verdana,MS Sans Serif,arial,helvetica'' size=''-2'' color=''#666666''&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",Sci/Tech,Sci/Tech
A House-Senate conference committee Thursday agreed to legislation that will extend key components of the Bush tax cuts for up to six years.,Business,Business
Indian Prime Minister Manmohan Singh is expected to seek a permanent UN Security Council seat for India in a speech in New York.,World,Business
"ATHENS - Around the final curve they came, into the homestretch, and it was unfolding just how they had predicted: One, two, three.",Sports,Sci/Tech
Wide receiver Tim Carter of the New York Giants will miss the remainder of the season because of a hip injury. Carter suffered a fractured hip socket during the third quarter ,Sports,Sports
"Computer-security experts, including former government officials, urged the Bush administration on Tuesday to devote more effort to strengthening defenses against viruses, hackers and other online threats.",Sci/Tech,Sci/Tech
 SAN FRANCISCO (Sports Network) - San Francisco linebacker  Julian Peterson left Sunday''s game against Arizona late in the  first quarter with a torn left Achilles'' tendon.,Sports,Sports
"Like a latter-day Ellis Island, the National Tennis Center bristled with overseas energy, overseas hopes, overseas dreams.",Sports,Sci/Tech
