text,label,requested_label
PITTSBURGH (Sports Network) - Kevin Bettencourt scored five of his 13 points in the final two minutes to lead Bucknell to a 69-66 upset over 10th-ranked and previously unbeaten Pittsburgh.,Sports,Sports
Terrmel Sledge hit a tiebreaking RBI double in the eighth inning and the Montreal Expos opened the team's final series before the franchise moves to Washington with a 4-2 victory over the New York Mets on Friday night.,Sports,Sports
"54.5 million Europeans surfed the Web over a broadband connection, a 60 percent increase from 34.1 million 12 months earlier. AMSTERDAM: More than half of Europe #39;s Internet surfers now have a high-speed broadband ",Sci/Tech,
"With three games left in the season, the Redskins are still struggling to get their offense in sync. Despite a strong defense, they've been unable to convert crucial third downs and have fallen behind in the NFC East race. Can they turn things around in time?",Sports,Sports
"Los Angeles Dodgers #39; Shawn Green watches his home run in the sixth inning against the St. Louis Cardinals Saturday, Oct. 9, 2004, in Los Angeles.",Sports,
"Syrian Civil War continues to rage on, with over 500,000 deaths and millions displaced. UN calls for immediate ceasefire and peace talks. #Syria #CivilWar #PeaceTalks",World,World
"Bee Staff Writer. SAN DIEGO - The San Diego Padres returned the favor, and the playoff-chasing Giants gladly accepted it before a disappointed record crowd of 45,389 at Petco Park.",Sports,
"MILTON -- If you could build a prototype Mansfield Hornet, he just might look like Brett McDermott.",Sports,
"LONDON : The United Nations has announced that the number of refugees and migrants worldwide has reached a record high of 22.5 million, with the majority coming from Syria, Afghanistan, and South Sudan. This increase is a 25% jump from last year and is a stark reminder of the ongoing global refugee crisis.",World,World
Researchers at MIT have developed a new material that can absorb and convert carbon dioxide into oxygen. This breakthrough could help reduce carbon emissions and mitigate the effects of climate change. #SciTech #ClimateChange,Sci/Tech,Sci/Tech
"AFP - French pharmaceutical group Sanofi-Synthelabo formally announced the birth of Sanofi-Aventis, the world''s third-largest pharmaceutical company, ranking number one in Europe.",World,
Apple unveils new iPhone with advanced AI features,Business,Business
Lionel Messi scores hat-trick as Barcelona beats Atlético Madrid 3-0 in Champions League final,Sports,Sports
"The daily volume of Internet attacks dropped off in the first half of this year, and the rate at which new vulnerabilities are being reported appears to have hit a plateau, according to Symantec Corp.",Sci/Tech,
"Berkeley, U. of Minn. students get download discounts; aim is to provide legal music alternatives. NEW YORK (CNN/Money) - As an added bonus to returning to campus this fall, more than 80,000 college students ",Business,
 RIO DE JANEIRO (Reuters) - Brazil coach Carlos Alberto  Parreira is more worried about playing rank outsiders Venezuela  than the likes of Germany or Argentina.,Sports,
"Maoists rebels have lifted a blockade that cut Nepal #39;s capital Kathmandu off from the rest of the country for a week. In a statement released Tuesday, however, the rebels warned the ",World,
"Venus Williams of the United States returns the ball to Croatia #39;s Karolina Sprem, during their first round match, at the Swisscom Challenge Tennis Tournament in Kloten, Switzerland, Tuesday, Oct.19, 2004.",Sports,
"JERUSALEM : Beleaguered Israeli Prime Minister Ariel Sharon persisted with plans to form a new government including the main opposition Labour party, bolstered by Washington #39;s backing for the expansion of West Bank settlements.",World,
"Japan and the Association of Southeast Asian Nations agreed Saturday to launch negotiations for a free trade agreement in April next year, Japanese officials said. The agreement aims to promote economic growth and development in the region by reducing tariffs and other trade barriers. #SciTech #TradeAgreement",Sci/Tech,Sci/Tech
A SECOND-HALF Springbok blitz gave South Africa their first Tri-Nations rugby title in six years with a win over Australia at Kings Park.,Sports,
"com. Thome has known Charlie Manuel for his entire professional baseball life, which started shortly after he became a 13th-round draft pick by the Cleveland Indians in 1989.",Sports,
South Sound fans reacted with everything from relief to regret over Wednesday #39;s NCAA rulings on the University of Washington athletics program.,Sports,
"LeBron James scores 30 points in the Lakers' win over the Celtics last night, leading his team to a 3-0 lead in the NBA Finals.",Sports,Sports
"Fulfilling a long-time goal, Intel Corp. is set to introduce on Thursday its first chip set that supports all three current forms of Wi-Fi, according to sources familiar with the announcement.",Sci/Tech,
" FRANKFURT (Reuters) - Market research firm IDC has raised  its 2004 forecast for global personal computer sales growth to  14.2 percent from 13.5 percent, driven by high commercial  demand, it said on Monday.",Sci/Tech,
The United Nations has announced that it will hold an emergency meeting to discuss the ongoing conflict in Yemen. The meeting is expected to take place within the next 24 hours and will involve representatives from over 50 countries. The UN Secretary-General has called for an immediate ceasefire and political settlement to the conflict. #Yemen #UN #Conflict,World,World
"Vienna, Austria (Sports Network) - English midfielder Steven Gerrard will likely miss Saturday #39;s World Cup qualifier against Austria with a groin injury.",Sports,
palmOne introduced Monday the Tungsten T5 handheld with 256 megabytes of flash memory - the most built into a handheld to date. Expected to be widely available ,Sci/Tech,
The F.C.C. adopted rules that will enable utility companies to offer an alternative to broadband services provided by cable and phone companies. This move is expected to increase competition in the market and provide consumers with more choices for high-speed internet access.,Business,Business
"PALM INC. REVIVES WI-FI DREAM, BUT IT'S NOT ALL IT'S CRAFTED UP TO BE",Business,Business
"AP - Gordon Cooper, who as one of the original Mercury astronauts was a pioneer in human space exploration, has died. He was 77.",Sci/Tech,
"Reuters - European shares sagged on Tuesday as\broker downgrades hit mobile phone operator Vodafone  and two\of its peers, but UK clothing retailer Next shone on news of\strong summer sales.",Sci/Tech,
"Toronto-Dominion Bank, Canada #39;s second-largest bank by assets, said it #39;s in talks for a possible transaction #39; #39; with Banknorth Group Inc.",Business,
FULHAM #39;S United old boy Andy Cole fears his former team are poised to leave their critics red-faced. The Reds haven #39;t lost in the Premiership since defeat at Portsmouth six matches ago when they were being written off in the title race.,Sports,
"WASHINGTON - The US job market brightened in August as employers added 144,000 workers to their payrolls and hiring totals for the two prior months were revised up, the Labor Department (search) reported on Friday.",Business,
"Tiger Woods has won his 82nd PGA Tour title at the Tour Championship, securing his 5th FedEx Cup title. This win marks Woods' 15th major championship victory and solidifies his position as the all-time leader in PGA Tour wins. (Source: ESPN)",Sports,Sports
"While it seemed likely during the preseason that Gutierrez would win the job, coach Lloyd Carr insisted two other quarterbacks - Clayton Richard and Chad Henne - had a shot.",Sports,
The retailer trots out a bargain portable PC that packs Wi-Fi. Is it getting ready for a laptop push for the holidays?,Sci/Tech,
"LeBron James had 26 points to become the youngest player in NBA history to score 2,000 points as the Cleveland Cavaliers cruised to a 96-74 home win over the Chicago Bulls on Saturday.",Sports,Sports
"Ending after midnight due to rain delays, Roger Federer finally put his second round robin match in the books early Thursday morning at the ATP Tennis Masters Cup in Houston, defeating Lleyton Hewitt for the fifth consecutive time 6-3, 6-4.",Sports,
Sony to Launch New Smartphone with Improved Camera and Battery Life,Business,Business
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico thriller,Sports,Sports
The following is a verbatim copy of a open letter to the Linux community issued by PalmSource. Read on for more information about the new acquisition and FAQs about how PalmSource will use the new resources and the new Palm OS Cobalt version of Linux.,Sci/Tech,
"Warren Sapp #39;s presence and legacy linger around the Tampa Bay Buccaneers like something tangible, something that can be felt, heard and feared, say an open-handed slap to the face mask.",Sports,
"NASA's Mars 2020 rover has discovered evidence of a past habitable environment on the Red Planet. The rover found traces of water and organic molecules in rocks near the Martian surface, suggesting that life could have thrived there billions of years ago. The discovery could help scientists better understand the potential for life on Mars and other planets in the solar system.",Sci/Tech,Sci/Tech
"Samsung unveils new smartphone with innovative foldable design, sparking competition in the tech industry. #Samsung #FoldablePhone #TechNews",Business,Business
"With few junk e-mail filters supporting a protocol for verifying the source address of digital messages, spammers have adopted it themselves as a way to appear more legitimate, stated a report released on Wednesday.",Sci/Tech,
"NEW YORK, August 30 (New Ratings) - Japan #39;s Supreme Court has reportedly approved the merger negotiations between UFJ Holdings Inc (ticker: UFJ) and Mitsubishi Tokyo Financial Group (MTFG).",Business,
IBM Corp has announced that it will launch a new low-budget version of its BladeCenter chassis for blade servers in an effort to make the blade machines more appealing to budget conscious customers in the small- and mid-sized market.,Sci/Tech,
Performance venues there can now install signal-jamming equipment to deal with rude mobile-phone users.,Sci/Tech,
"SAN FRANCISCO - Cisco Systems Inc. channel partners will be able to offer real-time monitoring of enterprises' networks after the company agreed to acquire NetSolve Inc., the networking giant said Thursday. The acquisition will enable Cisco to provide more comprehensive security solutions to its customers, according to the company. #cisco #networksecurity #acquisition",Business,Business
"Gaza conflict escalates as Israel launches airstrikes, Hamas fires rockets",World,World
"AP - A sick man among the sick, Pope John Paul II struggled through Sunday Mass at a French shrine that draws desperate people seeking miracle cures. The 84-year-old pontiff gasped, trembled and asked aides for help during the 2 1/2 hour service in sizzling heat.",World,
"AP - Reliever Arthur Rhodes was traded for the second time in two weeks Saturday, sent from the Pittsburgh Pirates to the Cleveland Indians for outfielder Matt Lawton in the first trade of the winter meetings, a baseball official told The Associated Press.",Sports,
"Syrian President Bashar al-Assad has been accused of war crimes by a UN commission, including the use of chemical weapons against civilians. The commission has called for the International Criminal Court to investigate and prosecute Assad and other top officials. (Source: The New York Times)",World,World
AP - The NHL and the players'' association appeared headed toward a lockout when talks broke off Thursday after the union''s first new proposal in nearly a year.,Sports,
"After nine days of being held by kidnappers in Iraq, New York-based freelance journalist Micah Garen will reunite with his family this week, his father said yesterday.",World,
"Migrant crisis in Europe worsens as hundreds of refugees die attempting to cross the Mediterranean Sea. Turkey and Greece struggle to cope with the influx of refugees fleeing war and persecution in Syria, Iraq, and Afghanistan. International community scrambles to find a solution to the humanitarian crisis.",World,World
LOS ANGELES (AP) - LeBron James scored 35 points and grabbed 10 rebounds to lead the Los Angeles Lakers to a 115-108 win over the Denver Nuggets. James also dished out 7 assists in the victory.,Sports,Sports
"BANGALORE, India Anil Kumble, the Indian spin bowler, took three wickets Wednesday to reach 400 in test matches as the first day of the first test against Australia finished finely balanced.",Sports,
"Apple's newest product launch has everyone talking. The iPhone 12 Pro Max has exceeded expectations with its cutting-edge technology and sleek design. But the real excitement is around the company's plans for the future, including the rumored release of an augmented reality headset. Will it be the next big thing in tech?",Business,Business
Cristiano Ronaldo scores hat-trick as Juventus beats AC Milan 3-0 in Serie A opener,Sports,Sports
LOS ANGELES A source says Hollywood movie studios are preparing to sue computer users they say are illegally distributing movies online.,Sci/Tech,
